                table_name                 |               constraint_name                | contype |                                                                                  definition                                                                                  
 "MedicamentoVia"                          | FK_MedVia_Meds_NRegistro                     | f       | FOREIGN KEY ("NRegistro") REFERENCES "Medicamentos"("NRegistro") ON UPDATE CASCADE ON DELETE CASCADE
 "MedicamentoVia"                          | fk_mv_nregistro                              | f       | FOREIGN KEY ("NRegistro") REFERENCES "Medicamentos"("NRegistro") ON DELETE CASCADE
 "MedicamentoVia"                          | MedicamentoVia_ViaId_fkey                    | f       | FOREIGN KEY ("ViaId") REFERENCES "ViaAdministracion"("Id") ON DELETE RESTRICT
 "MedicamentoVia"                          | MedicamentoVia_pkey                          | p       | PRIMARY KEY ("NRegistro", "ViaId")
 "MedicamentoViaOverrides"                 | ux_mv_over                                   | u       | UNIQUE ("NRegistro", "ViaId")
 "Outbox"                                  | Outbox_pkey                                  | p       | PRIMARY KEY ("Id")
 "PrescripcionDelta"                       | PrescripcionDelta_SyncRunId_fkey             | f       | FOREIGN KEY ("SyncRunId") REFERENCES "SyncRun"("Id") ON DELETE CASCADE
 "PrescripcionStaging"                     | FK_Presc_CodSitReg_Dic                       | f       | FOREIGN KEY ("CodSitReg") REFERENCES "SituacionRegistroDicStaging"("Codigo")
 "PrescripcionStaging"                     | FK_Presc_CodSitRegPresen_Dic                 | f       | FOREIGN KEY ("CodSitRegPresen") REFERENCES "SituacionRegistroDicStaging"("Codigo")
 "PrescripcionStaging"                     | PrescripcionStaging_pkey                     | p       | PRIMARY KEY ("CodNacion")
 "PrescripcionStaging_NUEVA"               | PK_PrescNueva_CodNacion                      | p       | PRIMARY KEY ("CodNacion")
 "PrescripcionStaging_NUEVO"               | PrescripcionStaging_NUEVO_pkey               | p       | PRIMARY KEY ("CodNacion")
 "Presentacion"                            | Presentacion_pkey                            | p       | PRIMARY KEY ("CN")
 "PresentacionContenido"                   | FK_PresCont_Presentacion_CN                  | f       | FOREIGN KEY ("CN") REFERENCES "Presentacion"("CN") ON UPDATE CASCADE ON DELETE RESTRICT
 "PresentacionContenido"                   | PresentacionContenido_CN_fkey                | f       | FOREIGN KEY ("CN") REFERENCES "Presentacion"("CN") ON DELETE CASCADE
 "PresentacionContenido"                   | PresentacionContenido_pkey                   | p       | PRIMARY KEY ("CN", "Secuencia")
 "PresentacionContenidoStaging"            | FK_PresContStaging_EnvaseDic                 | f       | FOREIGN KEY ("EnvaseId") REFERENCES "EnvaseDicStaging"("Id")
 "PresentacionContenidoStaging"            | FK_PresContStaging_UnidadDic                 | f       | FOREIGN KEY ("UnidadId") REFERENCES "UnidadContenidoDicStaging"("Id")
 "PresentacionContenidoStaging"            | PresentacionContenidoStaging_pkey            | p       | PRIMARY KEY ("CN", "Secuencia")
 "PrincipioActivoStaging"                  | PrincipioActivoStaging_pkey                  | p       | PRIMARY KEY ("NRegistro", "Orden")
 "PrincipiosActivos"                       | PrincipiosActivos_pkey                       | p       | PRIMARY KEY ("Codigo")
 "PrincipiosActivosXmlTemp"                | PrincipiosActivosXmlTemp_pkey                | p       | PRIMARY KEY ("Codigo")
 "SituacionRegistroDicStaging"             | SituacionRegistroDicStaging_pkey             | p       | PRIMARY KEY ("Codigo")
 "SustanciaActiva"                         | SustanciaActiva_pkey                         | p       | PRIMARY KEY ("Id")
 "SustanciaActivaDicStaging"               | SustanciaActivaDicStaging_pkey               | p       | PRIMARY KEY ("Id")
 "SyncRun"                                 | SyncRun_Kind_check                           | c       | CHECK (("Kind" = ANY (ARRAY['daily'::text, 'monthly'::text, 'backfill'::text, 'dicts'::text])))
 "SyncRun"                                 | SyncRun_pkey                                 | p       | PRIMARY KEY ("Id")
 "UnidadContenidoDicStaging"               | UnidadContenidoDicStaging_pkey               | p       | PRIMARY KEY ("Id")
 "ViaAdministracion"                       | ViaAdministracion_pkey                       | p       | PRIMARY KEY ("Id")
 "ViaAdministracionDicStaging"             | ViaAdministracionDicStaging_pkey             | p       | PRIMARY KEY ("Id")
 "ViaAdministracionMap"                    | ViaAdministracionMap_pkey                    | p       | PRIMARY KEY ("IdCima")
 "Vtm"                                     | Vtm_pkey                                     | p       | PRIMARY KEY ("Id")
 "VtmDicStaging"                           | VtmDicStaging_pkey                           | p       | PRIMARY KEY ("Id")
 excip_dic_map                             | excip_dic_map_excipiente_id_fkey             | f       | FOREIGN KEY (excipiente_id) REFERENCES "Excipiente"("Id") ON DELETE RESTRICT
 excip_dic_map                             | excip_dic_map_pkey                           | p       | PRIMARY KEY (cod, excipiente_id)
 graph_edge                                | graph_edge_dst_type_dst_key_fkey             | f       | FOREIGN KEY (dst_type, dst_key) REFERENCES graph_node(node_type, node_key) ON DELETE CASCADE
 graph_edge                                | graph_edge_src_type_src_key_fkey             | f       | FOREIGN KEY (src_type, src_key) REFERENCES graph_node(node_type, node_key) ON DELETE CASCADE
 graph_edge                                | graph_edge_pkey                              | p       | PRIMARY KEY (src_type, src_key, rel, dst_type, dst_key)
 graph_node                                | graph_node_pkey                              | p       | PRIMARY KEY (node_type, node_key)
 med_quarantine                            | med_quarantine_pkey                          | p       | PRIMARY KEY (nregistro)
 pa_unmatched_map                          | pa_unmatched_map_pkey                        | p       | PRIMARY KEY (codigo_json)
(146 rows)

