                tablename                |                       indexname                        |                                                                                                                                              indexdef                                                                                                                                              
 MedicamentoBiomarcador                  | IX_MedBio_NRegistro                                    | CREATE INDEX "IX_MedBio_NRegistro" ON public."MedicamentoBiomarcador" USING btree ("NRegistro")
 MedicamentoBiomarcador                  | MedicamentoBiomarcador_pkey                            | CREATE UNIQUE INDEX "MedicamentoBiomarcador_pkey" ON public."MedicamentoBiomarcador" USING btree ("NRegistro", "BiomarcadorId", "TipoRelacion")
 MedicamentoDetalleNotFound              | IX_MedNF_Again                                         | CREATE INDEX "IX_MedNF_Again" ON public."MedicamentoDetalleNotFound" USING btree ("Attempts", "LastTried")
 MedicamentoDetalleNotFound              | MedicamentoDetalleNotFound_pkey                        | CREATE UNIQUE INDEX "MedicamentoDetalleNotFound_pkey" ON public."MedicamentoDetalleNotFound" USING btree ("NRegistro")
 MedicamentoDetalleRaw                   | IX_MedDetRaw_Hash                                      | CREATE INDEX "IX_MedDetRaw_Hash" ON public."MedicamentoDetalleRaw" USING btree ("RowHash")
 MedicamentoDetalleRaw                   | IX_MedRaw_FetchedAt                                    | CREATE INDEX "IX_MedRaw_FetchedAt" ON public."MedicamentoDetalleRaw" USING btree ("FetchedAt")
 MedicamentoDetalleRaw                   | MedicamentoDetalleRaw_pkey                             | CREATE UNIQUE INDEX "MedicamentoDetalleRaw_pkey" ON public."MedicamentoDetalleRaw" USING btree ("NRegistro")
 MedicamentoDetalleRaw                   | idx_mdr_ff_id_int                                      | CREATE INDEX idx_mdr_ff_id_int ON public."MedicamentoDetalleRaw" USING btree ((((("Json" -> 'formaFarmaceutica'::text) ->> 'id'::text))::integer))
 MedicamentoDetalleRaw                   | idx_mdr_ff_simpl_id_int                                | CREATE INDEX idx_mdr_ff_simpl_id_int ON public."MedicamentoDetalleRaw" USING btree ((((("Json" -> 'formaFarmaceuticaSimplificada'::text) ->> 'id'::text))::integer))
 MedicamentoDetalleRaw                   | idx_mdr_json_gin                                       | CREATE INDEX idx_mdr_json_gin ON public."MedicamentoDetalleRaw" USING gin ("Json" jsonb_path_ops)
 MedicamentoDetalleRaw                   | ix_medsraw_nreg                                        | CREATE INDEX ix_medsraw_nreg ON public."MedicamentoDetalleRaw" USING btree ("NRegistro")
 MedicamentoDetalleStaging               | MedicamentoDetalleStaging_pkey                         | CREATE UNIQUE INDEX "MedicamentoDetalleStaging_pkey" ON public."MedicamentoDetalleStaging" USING btree ("NRegistro")
 MedicamentoExcipiente                   | IX_MedExc_ExcipienteId                                 | CREATE INDEX "IX_MedExc_ExcipienteId" ON public."MedicamentoExcipiente" USING btree ("ExcipienteId")
 MedicamentoExcipiente                   | IX_MedicamentoExcipiente_ExcipienteId                  | CREATE INDEX "IX_MedicamentoExcipiente_ExcipienteId" ON public."MedicamentoExcipiente" USING btree ("ExcipienteId")
 MedicamentoExcipiente                   | IX_MedicamentoExcipiente_NRegistro                     | CREATE INDEX "IX_MedicamentoExcipiente_NRegistro" ON public."MedicamentoExcipiente" USING btree ("NRegistro")
 MedicamentoExcipiente                   | MedicamentoExcipiente_pkey                             | CREATE UNIQUE INDEX "MedicamentoExcipiente_pkey" ON public."MedicamentoExcipiente" USING btree ("NRegistro", "ExcipienteId", "Orden")
 MedicamentoExcipiente                   | idx_me_excipienteid                                    | CREATE INDEX idx_me_excipienteid ON public."MedicamentoExcipiente" USING btree ("ExcipienteId")
 MedicamentoPresentacion                 | IX_MedPres_CN                                          | CREATE INDEX "IX_MedPres_CN" ON public."MedicamentoPresentacion" USING btree ("CN")
 MedicamentoPresentacion                 | IX_MedPres_NRegistro                                   | CREATE INDEX "IX_MedPres_NRegistro" ON public."MedicamentoPresentacion" USING btree ("NRegistro")
 MedicamentoPresentacion                 | MedicamentoPresentacion_pkey                           | CREATE UNIQUE INDEX "MedicamentoPresentacion_pkey" ON public."MedicamentoPresentacion" USING btree ("NRegistro", "CN")
 MedicamentoPresentacion                 | ix_mp_cn_nreg                                          | CREATE INDEX ix_mp_cn_nreg ON public."MedicamentoPresentacion" USING btree ("CN", "NRegistro")
 MedicamentoPresentacion                 | uq_mp_cn_nreg                                          | CREATE UNIQUE INDEX uq_mp_cn_nreg ON public."MedicamentoPresentacion" USING btree ("CN", "NRegistro")
 MedicamentoSustancia                    | IX_MedSust_SustanciaId                                 | CREATE INDEX "IX_MedSust_SustanciaId" ON public."MedicamentoSustancia" USING btree ("SustanciaId")
 MedicamentoSustancia                    | IX_MedicamentoSustancia_NRegistro                      | CREATE INDEX "IX_MedicamentoSustancia_NRegistro" ON public."MedicamentoSustancia" USING btree ("NRegistro")
 MedicamentoSustancia                    | IX_MedicamentoSustancia_SustanciaId                    | CREATE INDEX "IX_MedicamentoSustancia_SustanciaId" ON public."MedicamentoSustancia" USING btree ("SustanciaId")
 MedicamentoSustancia                    | IX_MedicamentoSustancia_Sustancia_CantidadNum          | CREATE INDEX "IX_MedicamentoSustancia_Sustancia_CantidadNum" ON public."MedicamentoSustancia" USING btree ("SustanciaId", "CantidadNum_mg")
 MedicamentoSustancia                    | MedicamentoSustancia_pkey                              | CREATE UNIQUE INDEX "MedicamentoSustancia_pkey" ON public."MedicamentoSustancia" USING btree ("NRegistro", "SustanciaId")
 MedicamentoVia                          | IX_MedVia_ViaId                                        | CREATE INDEX "IX_MedVia_ViaId" ON public."MedicamentoVia" USING btree ("ViaId")
 MedicamentoVia                          | IX_MedicamentoVia_NRegistro                            | CREATE INDEX "IX_MedicamentoVia_NRegistro" ON public."MedicamentoVia" USING btree ("NRegistro")
 MedicamentoVia                          | IX_MedicamentoVia_ViaId                                | CREATE INDEX "IX_MedicamentoVia_ViaId" ON public."MedicamentoVia" USING btree ("ViaId")
 MedicamentoVia                          | MedicamentoVia_pkey                                    | CREATE UNIQUE INDEX "MedicamentoVia_pkey" ON public."MedicamentoVia" USING btree ("NRegistro", "ViaId")
 MedicamentoVia                          | ux_medicamentovia_nreg_via                             | CREATE UNIQUE INDEX ux_medicamentovia_nreg_via ON public."MedicamentoVia" USING btree ("NRegistro", "ViaId")
 MedicamentoViaOverrides                 | ux_mv_over                                             | CREATE UNIQUE INDEX ux_mv_over ON public."MedicamentoViaOverrides" USING btree ("NRegistro", "ViaId")
 Medicamentos                            | IX_Med_LabComercializadorId                            | CREATE INDEX "IX_Med_LabComercializadorId" ON public."Medicamentos" USING btree ("LaboratorioComercializadorId")
 Medicamentos                            | IX_Med_LabTitularId                                    | CREATE INDEX "IX_Med_LabTitularId" ON public."Medicamentos" USING btree ("LaboratorioTitularId")
 Medicamentos                            | IX_Medicamentos_FormaFarmaceuticaId                    | CREATE INDEX "IX_Medicamentos_FormaFarmaceuticaId" ON public."Medicamentos" USING btree ("FormaFarmaceuticaId")
 Medicamentos                            | IX_Medicamentos_FormaFarmaceuticaSimplificadaId        | CREATE INDEX "IX_Medicamentos_FormaFarmaceuticaSimplificadaId" ON public."Medicamentos" USING btree ("FormaFarmaceuticaSimplificadaId")
 Medicamentos                            | IX_Medicamentos_NRegistro                              | CREATE UNIQUE INDEX "IX_Medicamentos_NRegistro" ON public."Medicamentos" USING btree ("NRegistro")
 Medicamentos                            | IX_Medicamentos_VtmId                                  | CREATE INDEX "IX_Medicamentos_VtmId" ON public."Medicamentos" USING btree ("VtmId")
 Medicamentos                            | IX_Meds_FormaFarmaceuticaId                            | CREATE INDEX "IX_Meds_FormaFarmaceuticaId" ON public."Medicamentos" USING btree ("FormaFarmaceuticaId")
 Medicamentos                            | IX_Meds_FormaFarmaceuticaSimplificadaId                | CREATE INDEX "IX_Meds_FormaFarmaceuticaSimplificadaId" ON public."Medicamentos" USING btree ("FormaFarmaceuticaSimplificadaId")
 Medicamentos                            | IX_Meds_LabComercializadorId                           | CREATE INDEX "IX_Meds_LabComercializadorId" ON public."Medicamentos" USING btree ("LaboratorioComercializadorId")
 Medicamentos                            | IX_Meds_LabTitularId                                   | CREATE INDEX "IX_Meds_LabTitularId" ON public."Medicamentos" USING btree ("LaboratorioTitularId")
 Medicamentos                            | IX_Meds_VtmId                                          | CREATE INDEX "IX_Meds_VtmId" ON public."Medicamentos" USING btree ("VtmId")
 Medicamentos                            | PK_Medicamentos                                        | CREATE UNIQUE INDEX "PK_Medicamentos" ON public."Medicamentos" USING btree ("Id")
 Medicamentos                            | idx_medicamentos_labtitular_trgm                       | CREATE INDEX idx_medicamentos_labtitular_trgm ON public."Medicamentos" USING gin ("LabTitular" gin_trgm_ops)
 Medicamentos                            | idx_medicamentos_nombre_trgm                           | CREATE INDEX idx_medicamentos_nombre_trgm ON public."Medicamentos" USING gin ("Nombre" gin_trgm_ops)
 Medicamentos                            | idx_meds_lab_trgm                                      | CREATE INDEX idx_meds_lab_trgm ON public."Medicamentos" USING gin ("LabTitular" gin_trgm_ops)
 Medicamentos                            | idx_meds_nombre_trgm                                   | CREATE INDEX idx_meds_nombre_trgm ON public."Medicamentos" USING gin ("Nombre" gin_trgm_ops)
 Medicamentos                            | idx_meds_tsv                                           | CREATE INDEX idx_meds_tsv ON public."Medicamentos" USING gin (to_tsvector('spanish'::regconfig, (((((COALESCE("Nombre", ''::character varying))::text || ' '::text) || (COALESCE("Dosis", ''::character varying))::text) || ' '::text) || (COALESCE("LabTitular", ''::character varying))::text)))
 Medicamentos                            | ix_meds_nreg                                           | CREATE INDEX ix_meds_nreg ON public."Medicamentos" USING btree ("NRegistro")
 Outbox                                  | IX_Outbox_CreatedAt                                    | CREATE INDEX "IX_Outbox_CreatedAt" ON public."Outbox" USING btree ("CreatedAt")
 Outbox                                  | Outbox_pkey                                            | CREATE UNIQUE INDEX "Outbox_pkey" ON public."Outbox" USING btree ("Id")
 Outbox                                  | UX_Outbox_Entidad_Clave_Hash                           | CREATE UNIQUE INDEX "UX_Outbox_Entidad_Clave_Hash" ON public."Outbox" USING btree ("Entity", "EntityKey", "RowHash")
 PrescripcionDelta                       | IX_Delta_CreatedAt                                     | CREATE INDEX "IX_Delta_CreatedAt" ON public."PrescripcionDelta" USING btree ("CreatedAt")
 PrescripcionDelta                       | IX_Delta_EntidadClave                                  | CREATE INDEX "IX_Delta_EntidadClave" ON public."PrescripcionDelta" USING btree ("Entidad", "Clave")
 PrescripcionDelta                       | IX_Delta_SyncRunId                                     | CREATE INDEX "IX_Delta_SyncRunId" ON public."PrescripcionDelta" USING btree ("SyncRunId")
 PrescripcionStaging                     | IX_PrescStaging_Dcp                                    | CREATE INDEX "IX_PrescStaging_Dcp" ON public."PrescripcionStaging" USING btree ("CodDcp")
 PrescripcionStaging                     | IX_PrescStaging_Dcpf                                   | CREATE INDEX "IX_PrescStaging_Dcpf" ON public."PrescripcionStaging" USING btree ("CodDcpf")
 PrescripcionStaging                     | IX_PrescStaging_Dcsa                                   | CREATE INDEX "IX_PrescStaging_Dcsa" ON public."PrescripcionStaging" USING btree ("CodDcsa")
 PrescripcionStaging                     | IX_PrescStaging_NRegistro                              | CREATE INDEX "IX_PrescStaging_NRegistro" ON public."PrescripcionStaging" USING btree ("NRegistro")
 PrescripcionStaging                     | IX_Presc_CodSitReg                                     | CREATE INDEX "IX_Presc_CodSitReg" ON public."PrescripcionStaging" USING btree ("CodSitReg")
 PrescripcionStaging                     | IX_Presc_CodSitRegPresen                               | CREATE INDEX "IX_Presc_CodSitRegPresen" ON public."PrescripcionStaging" USING btree ("CodSitRegPresen")
 PrescripcionStaging                     | IX_Presc_Hash                                          | CREATE INDEX "IX_Presc_Hash" ON public."PrescripcionStaging" USING btree ("Hash")
 PrescripcionStaging                     | PrescripcionStaging_pkey                               | CREATE UNIQUE INDEX "PrescripcionStaging_pkey" ON public."PrescripcionStaging" USING btree ("CodNacion")
