               table_name                |           column_name           |        data_type         | character_maximum_length | is_nullable |              column_default               
 MedicamentoDetalleRaw                   | RowHash                         | text                     |                          | NO          | 
 MedicamentoDetalleRaw                   | ETag                            | text                     |                          | YES         | 
 MedicamentoDetalleRaw                   | LastModified                    | timestamp with time zone |                          | YES         | 
 MedicamentoDetalleRaw                   | FetchedAt                       | timestamp with time zone |                          | NO          | now()
 MedicamentoDetalleRaw                   | Source                          | text                     |                          | NO          | 'cima_api'::text
 MedicamentoDetalleRaw                   | HttpStatus                      | integer                  |                          | YES         | 
 MedicamentoDetalleRaw                   | ErrorText                       | text                     |                          | YES         | 
 MedicamentoDetalleRaw                   | Json                            | jsonb                    |                          | NO          | 
 MedicamentoDetalleRaw                   | Fuente                          | text                     |                          | NO          | 'api'::text
 MedicamentoDetalleStaging               | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoDetalleStaging               | DetalleJson                     | jsonb                    |                          | NO          | 
 MedicamentoExcipiente                   | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoExcipiente                   | ExcipienteId                    | bigint                   |                          | NO          | 
 MedicamentoExcipiente                   | Cantidad                        | character varying        |                       64 | YES         | 
 MedicamentoExcipiente                   | Unidad                          | character varying        |                       64 | YES         | 
 MedicamentoExcipiente                   | Obligatorio                     | boolean                  |                          | NO          | false
 MedicamentoExcipiente                   | Orden                           | integer                  |                          | NO          | 
 MedicamentoPresentacion                 | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoPresentacion                 | CN                              | character varying        |                       16 | NO          | 
 MedicamentoSustancia                    | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoSustancia                    | SustanciaId                     | bigint                   |                          | NO          | 
 MedicamentoSustancia                    | Cantidad                        | character varying        |                       64 | NO          | 
 MedicamentoSustancia                    | Unidad                          | character varying        |                       64 | NO          | 
 MedicamentoSustancia                    | CantidadNum_mg                  | numeric                  |                          | YES         | 
 MedicamentoSustancia                    | Orden                           | integer                  |                          | YES         | 
 MedicamentoSustancia                    | CodigoJson                      | text                     |                          | YES         | 
 MedicamentoVia                          | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoVia                          | ViaId                           | integer                  |                          | NO          | 
 MedicamentoViaOverrides                 | NRegistro                       | text                     |                          | NO          | 
 MedicamentoViaOverrides                 | ViaId                           | integer                  |                          | NO          | 
 MedicamentoViaOverrides                 | Motivo                          | text                     |                          | NO          | 
 MedicamentoViaOverrides                 | CreatedAt                       | timestamp with time zone |                          | YES         | now()
 Medicamentos                            | Id                              | uuid                     |                          | NO          | gen_random_uuid()
 Medicamentos                            | Nombre                          | character varying        |                      512 | NO          | 
 Medicamentos                            | CreatedAt                       | timestamp with time zone |                          | NO          | 
 Medicamentos                            | Dosis                           | character varying        |                      128 | YES         | 
 Medicamentos                            | Generico                        | boolean                  |                          | YES         | 
 Medicamentos                            | LabTitular                      | character varying        |                      256 | YES         | 
 Medicamentos                            | NRegistro                       | character varying        |                       32 | NO          | ''::character varying
 Medicamentos                            | RawJson                         | jsonb                    |                          | NO          | '{}'::jsonb
 Medicamentos                            | Receta                          | boolean                  |                          | YES         | 
 Medicamentos                            | UpdatedAt                       | timestamp with time zone |                          | NO          | '-infinity'::timestamp with time zone
 Medicamentos                            | FormaFarmaceuticaId             | integer                  |                          | YES         | 
 Medicamentos                            | FormaFarmaceuticaSimplificadaId | integer                  |                          | YES         | 
 Medicamentos                            | VtmId                           | bigint                   |                          | YES         | 
 Medicamentos                            | RawJsonDetalle                  | jsonb                    |                          | YES         | 
 Medicamentos                            | EnrichedAt                      | timestamp with time zone |                          | YES         | 
 Medicamentos                            | Comercializado                  | boolean                  |                          | YES         | 
 Medicamentos                            | FechaAutorizacion               | timestamp with time zone |                          | YES         | 
 Medicamentos                            | FechaSuspension                 | timestamp with time zone |                          | YES         | 
 Medicamentos                            | FechaRevocacion                 | timestamp with time zone |                          | YES         | 
 Medicamentos                            | AfectaConduccion                | boolean                  |                          | YES         | 
 Medicamentos                            | TrianguloNegro                  | boolean                  |                          | YES         | 
 Medicamentos                            | Huerfano                        | boolean                  |                          | YES         | 
 Medicamentos                            | Biosimilar                      | boolean                  |                          | YES         | 
 Medicamentos                            | MaterialesInformativos          | boolean                  |                          | YES         | 
 Medicamentos                            | Fotos                           | boolean                  |                          | YES         | 
 Medicamentos                            | Psum                            | boolean                  |                          | YES         | 
 Medicamentos                            | LaboratorioTitularId            | integer                  |                          | YES         | 
 Medicamentos                            | LaboratorioComercializadorId    | integer                  |                          | YES         | 
 Outbox                                  | Id                              | bigint                   |                          | NO          | nextval('"Outbox_Id_seq"'::regclass)
 Outbox                                  | Entity                          | text                     |                          | NO          | 
 Outbox                                  | EntityKey                       | text                     |                          | NO          | 
 Outbox                                  | Action                          | text                     |                          | NO          | 
 Outbox                                  | PayloadJson                     | jsonb                    |                          | NO          | 
 Outbox                                  | RowHash                         | text                     |                          | NO          | 
 Outbox                                  | CreatedAt                       | timestamp with time zone |                          | NO          | now()
 PrescripcionDelta                       | SyncRunId                       | bigint                   |                          | NO          | 
 PrescripcionDelta                       | Entidad                         | text                     |                          | NO          | 
 PrescripcionDelta                       | Clave                           | text                     |                          | NO          | 
 PrescripcionDelta                       | Accion                          | text                     |                          | NO          | 
 PrescripcionDelta                       | CambioJson                      | jsonb                    |                          | NO          | 
 PrescripcionDelta                       | RowHash                         | text                     |                          | NO          | 
 PrescripcionDelta                       | CreatedAt                       | timestamp with time zone |                          | NO          | now()
 PrescripcionStaging                     | CodNacion                       | character varying        |                       16 | NO          | 
 PrescripcionStaging                     | NRegistro                       | character varying        |                       32 | NO          | 
 PrescripcionStaging                     | CodDcp                          | character varying        |                       16 | YES         | 
 PrescripcionStaging                     | CodDcpf                         | character varying        |                       16 | YES         | 
 PrescripcionStaging                     | CodDcsa                         | character varying        |                       16 | YES         | 
 PrescripcionStaging                     | DesNomco                        | text                     |                          | YES         | 
 PrescripcionStaging                     | DesPrese                        | text                     |                          | YES         | 
 PrescripcionStaging                     | DesDosific                      | text                     |                          | YES         | 
 PrescripcionStaging                     | CodEnvase                       | integer                  |                          | YES         | 
 PrescripcionStaging                     | Contenido                       | numeric                  |                          | YES         | 
 PrescripcionStaging                     | UnidadContenidoCodigo           | character varying        |                       16 | YES         | 
 PrescripcionStaging                     | NroConte                        | text                     |                          | YES         | 
 PrescripcionStaging                     | UrlFictec                       | text                     |                          | YES         | 
 PrescripcionStaging                     | UrlProsp                        | text                     |                          | YES         | 
 PrescripcionStaging                     | SwPsicotropo                    | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwEstupefaciente                | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwAfectaConduccion              | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwTrianguloNegro                | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwReceta                        | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwGenerico                      | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwSustituible                   | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwEnvaseClinico                 | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwUsoHospitalario               | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwDiagnosticoHospitalario       | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwTld                           | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwEspecialControlMedico         | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwHuerfano                      | boolean                  |                          | YES         | 
 PrescripcionStaging                     | SwBaseAPlantas                  | boolean                  |                          | YES         | 
 PrescripcionStaging                     | Biosimilar                      | boolean                  |                          | YES         | 
 PrescripcionStaging                     | ImportacionParalela             | boolean                  |                          | YES         | 
 PrescripcionStaging                     | Radiofarmaco                    | boolean                  |                          | YES         | 
 PrescripcionStaging                     | Serializacion                   | boolean                  |                          | YES         | 
 PrescripcionStaging                     | LabTitularCodigo                | integer                  |                          | YES         | 
 PrescripcionStaging                     | LabComercializadorCodigo        | integer                  |                          | YES         | 
 PrescripcionStaging                     | FechaAutorizacion               | date                     |                          | YES         | 
 PrescripcionStaging                     | SwComercializado                | boolean                  |                          | YES         | 
 PrescripcionStaging                     | FechaComercializacion           | date                     |                          | YES         | 
 PrescripcionStaging                     | CodSitReg                       | integer                  |                          | YES         | 
 PrescripcionStaging                     | CodSitRegPresen                 | integer                  |                          | YES         | 
 PrescripcionStaging                     | FechaSitReg                     | date                     |                          | YES         | 
 PrescripcionStaging                     | FechaSitRegPresen               | date                     |                          | YES         | 
 PrescripcionStaging                     | SwTieneExcipDeclOblig           | boolean                  |                          | YES         | 
 PrescripcionStaging                     | HeaderDate                      | date                     |                          | YES         | 
 PrescripcionStaging                     | Hash                            | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | CodNacion                       | character varying        |                       16 | NO          | 
 PrescripcionStaging_NUEVO               | NRegistro                       | character varying        |                       32 | NO          | 
 PrescripcionStaging_NUEVO               | CodDcp                          | character varying        |                       16 | YES         | 
 PrescripcionStaging_NUEVO               | CodDcpf                         | character varying        |                       16 | YES         | 
 PrescripcionStaging_NUEVO               | CodDcsa                         | character varying        |                       16 | YES         | 
 PrescripcionStaging_NUEVO               | DesNomco                        | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | DesPrese                        | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | DesDosific                      | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | CodEnvase                       | integer                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | Contenido                       | numeric                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | UnidadContenidoCodigo           | character varying        |                       16 | YES         | 
 PrescripcionStaging_NUEVO               | NroConte                        | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | UrlFictec                       | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | UrlProsp                        | text                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwPsicotropo                    | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwEstupefaciente                | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwAfectaConduccion              | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwTrianguloNegro                | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwReceta                        | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwGenerico                      | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwSustituible                   | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwEnvaseClinico                 | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwUsoHospitalario               | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwDiagnosticoHospitalario       | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwTld                           | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwEspecialControlMedico         | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwHuerfano                      | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwBaseAPlantas                  | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | Biosimilar                      | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | ImportacionParalela             | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | Radiofarmaco                    | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | Serializacion                   | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | LabTitularCodigo                | integer                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | LabComercializadorCodigo        | integer                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | FechaAutorizacion               | date                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwComercializado                | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | FechaComercializacion           | date                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | CodSitReg                       | integer                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | CodSitRegPresen                 | integer                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | FechaSitReg                     | date                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | FechaSitRegPresen               | date                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | SwTieneExcipDeclOblig           | boolean                  |                          | YES         | 
 PrescripcionStaging_NUEVO               | HeaderDate                      | date                     |                          | YES         | 
 PrescripcionStaging_NUEVO               | Hash                            | text                     |                          | YES         | 
 Presentacion                            | CN                              | character varying        |                       16 | NO          | 
 Presentacion                            | Nombre                          | character varying        |                      512 | NO          | 
 Presentacion                            | Comercial                       | boolean                  |                          | YES         | 
 Presentacion                            | Psum                            | boolean                  |                          | YES         | 
 Presentacion                            | FechaAut                        | timestamp with time zone |                          | YES         | 
 PresentacionContenido                   | CN                              | character varying        |                       16 | NO          | 
 PresentacionContenido                   | Secuencia                       | integer                  |                          | NO          | 
 PresentacionContenido                   | EnvaseId                        | integer                  |                          | YES         | 
 PresentacionContenido                   | Envase                          | text                     |                          | YES         | 
 PresentacionContenido                   | CantidadRaw                     | text                     |                          | YES         | 
 PresentacionContenido                   | CantidadNum                     | numeric                  |                          | YES         | 
 PresentacionContenido                   | UnidadId                        | integer                  |                          | YES         | 
 PresentacionContenido                   | Unidad                          | text                     |                          | YES         | 
 PresentacionContenido                   | Notas                           | text                     |                          | YES         | 
 PresentacionContenidoStaging            | CN                              | character varying        |                       16 | NO          | 
 PresentacionContenidoStaging            | Secuencia                       | integer                  |                          | NO          | 
 PresentacionContenidoStaging            | EnvaseId                        | integer                  |                          | YES         | 
 PresentacionContenidoStaging            | Envase                          | text                     |                          | YES         | 
 PresentacionContenidoStaging            | CantidadRaw                     | text                     |                          | YES         | 
 PresentacionContenidoStaging            | CantidadNum                     | numeric                  |                          | YES         | 
 PresentacionContenidoStaging            | UnidadId                        | integer                  |                          | YES         | 
 PresentacionContenidoStaging            | Unidad                          | text                     |                          | YES         | 
 PresentacionContenidoStaging            | Notas                           | text                     |                          | YES         | 
 PrincipioActivoStaging                  | NRegistro                       | character varying        |                          | NO          | 
 PrincipioActivoStaging                  | Orden                           | integer                  |                          | NO          | 
 PrincipioActivoStaging                  | CodigoRaw                       | text                     |                          | YES         | 
 PrincipioActivoStaging                  | NombreRaw                       | text                     |                          | YES         | 
 PrincipioActivoStaging                  | UnidadRaw                       | text                     |                          | YES         | 
 PrincipioActivoStaging                  | CantidadRaw                     | text                     |                          | YES         | 
 PrincipioActivoStaging                  | NombreCanon                     | text                     |                          | YES         | 
 PrincipioActivoStaging                  | SustanciaId                     | integer                  |                          | YES         | 
 PrincipiosActivos                       | Codigo                          | text                     |                          | NO          | 
 PrincipiosActivos                       | Nombre                          | text                     |                          | YES         | 
 PrincipiosActivos                       | Lista                           | text                     |                          | YES         | 
 PrincipiosActivosXmlTemp                | Codigo                          | text                     |                          | NO          | 
 PrincipiosActivosXmlTemp                | Nombre                          | text                     |                          | YES         | 
 PrincipiosActivosXmlTemp                | Lista                           | text                     |                          | YES         | 
 SituacionRegistroDicStaging             | Codigo                          | integer                  |                          | NO          | 
 SituacionRegistroDicStaging             | Nombre                          | text                     |                          | NO          | 
 SituacionRegistroDicStaging             | NombreCanon                     | character varying        |                      256 | YES         | 
 SustanciaActiva                         | Id                              | bigint                   |                          | NO          | 
 SustanciaActiva                         | Nombre                          | character varying        |                      256 | NO          | 
 SustanciaActiva                         | Codigo                          | text                     |                          | YES         | 
 SustanciaActiva                         | ListaPsicotropo                 | text                     |                          | YES         | 
 SyncRun                                 | Id                              | bigint                   |                          | NO          | nextval('"SyncRun_Id_seq"'::regclass)
 SyncRun                                 | Kind                            | text                     |                          | NO          | 'daily'::text
 SyncRun                                 | StartedAt                       | timestamp with time zone |                          | NO          | now()
 SyncRun                                 | FinishedAt                      | timestamp with time zone |                          | YES         | 
 SyncRun                                 | Ok                              | boolean                  |                          | YES         | 
 SyncRun                                 | ApiCalls                        | integer                  |                          | YES         | 
 SyncRun                                 | Found                           | integer                  |                          | YES         | 
 SyncRun                                 | Changed                         | integer                  |                          | YES         | 
 SyncRun                                 | Unchanged                       | integer                  |                          | YES         | 
 SyncRun                                 | DurationMs                      | integer                  |                          | YES         | 
 SyncRun                                 | ErrorsJson                      | jsonb                    |                          | YES         | 
 SyncRun                                 | InicioAt                        | timestamp with time zone |                          | NO          | now()
 SyncRun                                 | Tipo                            | text                     |                          | NO          | 'desconocido'::text
 SyncRun                                 | FinAt                           | timestamp with time zone |                          | YES         | 
 SyncRun                                 | Resumen                         | jsonb                    |                          | YES         | 
 SyncRun                                 | Errores                         | jsonb                    |                          | YES         | 
 ViaAdminMap                             | IdJson                          | integer                  |                          | YES         | 
 ViaAdminMap                             | IdDic                           | integer                  |                          | YES         | 
 ViaAdminMap                             | NombreCanon                     | text                     |                          | YES         | 
 ViaAdministracion                       | Id                              | integer                  |                          | NO          | 
 ViaAdministracion                       | Nombre                          | character varying        |                      256 | NO          | 
 ViaAdministracion                       | NombreCanon                     | character varying        |                      256 | YES         | 
 ViaAdministracionDicStaging             | Id                              | integer                  |                          | NO          | 
 ViaAdministracionDicStaging             | Nombre                          | text                     |                          | NO          | 
 ViaAdministracionDicStaging             | NombreCanon                     | character varying        |                      256 | YES         | 
 ViaAdministracionMap                    | IdCima                          | integer                  |                          | NO          | 
 ViaAdministracionMap                    | IdPresc                         | integer                  |                          | YES         | 
 ViaAdministracionMap                    | NombreCanon                     | text                     |                          | NO          | 
 Vtm                                     | Id                              | bigint                   |                          | NO          | 
 Vtm                                     | Nombre                          | character varying        |                      256 | NO          | 
 _DcpCsv                                 | CN                              | character varying        |                       16 | NO          | 
 _DcpCsv                                 | CantidadRaw                     | text                     |                          | YES         | 
 _DcpCsv                                 | UnidadCodigo                    | character varying        |                       16 | YES         | 
 _DcpCsv                                 | Envase                          | text                     |                          | YES         | 
 _EnvasesCsv                             | Nombre                          | text                     |                          | NO          | 
 _UnidadContenidoCsv                     | Codigo                          | character varying        |                       16 | NO          | 
 _UnidadContenidoCsv                     | Nombre                          | text                     |                          | NO          | 
 __EFMigrationsHistory                   | MigrationId                     | character varying        |                      150 | NO          | 
 __EFMigrationsHistory                   | ProductVersion                  | character varying        |                       32 | NO          | 
 excip_dic_map                           | cod                             | text                     |                          | NO          | 
 excip_dic_map                           | excipiente_id                   | bigint                   |                          | NO          | 
 graph_edge                              | src_type                        | text                     |                          | NO          | 
 graph_edge                              | src_key                         | text                     |                          | NO          | 
 graph_edge                              | rel                             | text                     |                          | NO          | 
 graph_edge                              | dst_type                        | text                     |                          | NO          | 
 graph_edge                              | dst_key                         | text                     |                          | NO          | 
 graph_edge                              | props                           | jsonb                    |                          | YES         | '{}'::jsonb
 graph_node                              | node_type                       | text                     |                          | NO          | 
 graph_node                              | node_key                        | text                     |                          | NO          | 
 graph_node                              | name                            | text                     |                          | YES         | 
 graph_node                              | props                           | jsonb                    |                          | YES         | '{}'::jsonb
 med_quarantine                          | nregistro                       | text                     |                          | NO          | 
 med_quarantine                          | motivo                          | text                     |                          | YES         | 
 med_quarantine                          | created_at                      | timestamp with time zone |                          | YES         | now()
 meds_ft                                 | NRegistro                       | character varying        |                       32 | YES         | 
 meds_ft                                 | tsv                             | tsvector                 |                          | YES         | 
 pa_map                                  | codigo_json                     | text                     |                          | YES         | 
 pa_map                                  | codigo_num                      | integer                  |                          | YES         | 
 pa_map                                  | nom                             | text                     |                          | YES         | 
 pa_map                                  | sa_id                           | integer                  |                          | YES         | 
 pa_map                                  | sa_codigo                       | text                     |                          | YES         | 
 pa_map                                  | sa_nombre                       | text                     |                          | YES         | 
 pa_unmatched                            | codigo_json                     | text                     |                          | YES         | 
 pa_unmatched                            | codigo_num                      | integer                  |                          | YES         | 
 pa_unmatched                            | nom                             | text                     |                          | YES         | 
 pa_unmatched                            | categoria                       | text                     |                          | YES         | 
 pa_unmatched_map                        | codigo_json                     | text                     |                          | NO          | 
 pa_unmatched_map                        | nom                             | text                     |                          | NO          | 
 pa_unmatched_map                        | categoria                       | text                     |                          | NO          | 
 pa_unmatched_map                        | target                          | text                     |                          | YES         | 
 pa_unmatched_map                        | target_id                       | integer                  |                          | YES         | 
 pa_unmatched_map                        | notes                           | text                     |                          | YES         | 
 pa_unmatched_map                        | created_at                      | timestamp with time zone |                          | YES         | now()
 pa_unmatched_map                        | updated_at                      | timestamp with time zone |                          | YES         | now()
 search_terms                            | tipo                            | text                     |                          | YES         | 
 search_terms                            | clave                           | text                     |                          | YES         | 
 search_terms                            | termino                         | character varying        |                          | YES         | 
